id,round_id,attacker_action,defender_action,outcome,reward,meta_data,timestamp
1,4,/auth,allow,success,1.0,,2025-11-12T05:50:22
2,5,/auth,allow,success,1.0,,2025-11-12T05:50:23
3,3,/auth,allow,success,1.0,,2025-11-12T05:50:23
4,4,/auth,allow,success,1.0,,2025-11-12T05:50:23
5,5,/auth,allow,success,1.0,,2025-11-12T05:50:24
6,10,/auth,allow,success,1.0,,2025-11-12T05:50:24
7,4,/auth,allow,success,1.0,,2025-11-12T05:50:24
8,8,/auth,allow,success,1.0,,2025-11-12T05:50:25
9,6,/auth,allow,success,1.0,,2025-11-12T05:50:25
10,2,/auth,allow,success,1.0,,2025-11-12T05:50:25
11,1,/auth,allow,success,1.0,,2025-11-12T05:50:26
12,5,/auth,allow,success,1.0,,2025-11-12T05:50:26
13,10,/auth,allow,success,1.0,,2025-11-12T05:50:26
14,5,/auth,allow,success,1.0,,2025-11-12T05:50:27
15,5,/auth,allow,success,1.0,,2025-11-12T05:50:27
16,10,/auth,allow,success,1.0,,2025-11-12T05:50:27
17,2,/auth,allow,success,1.0,,2025-11-12T05:50:28
18,1,/auth,allow,success,1.0,,2025-11-12T05:50:28
19,10,/auth,allow,success,1.0,,2025-11-12T05:50:28
20,2,/auth,allow,success,1.0,,2025-11-12T05:50:29
21,9,/auth,allow,success,1.0,,2025-11-12T05:50:29
22,3,/auth,block,failure,-1.0,,2025-11-12T05:50:29
23,6,/auth,block,failure,-1.0,,2025-11-12T05:50:30
24,9,/auth,block,failure,-1.0,,2025-11-12T05:50:30
25,4,/auth,block,failure,-1.0,,2025-11-12T05:50:30
26,5,/auth,block,failure,-1.0,,2025-11-12T05:50:31
27,3,/auth,block,failure,-1.0,,2025-11-12T05:50:31
28,8,/auth,block,failure,-1.0,,2025-11-12T05:50:31
29,10,/auth,block,failure,-1.0,,2025-11-12T05:50:32
30,9,/auth,block,failure,-1.0,,2025-11-12T05:50:32
31,4,/auth,block,failure,-1.0,,2025-11-12T05:50:32
32,7,/auth,block,failure,-1.0,,2025-11-12T05:50:33
33,7,/auth,block,failure,-1.0,,2025-11-12T05:50:33
34,8,/auth,block,failure,-1.0,,2025-11-12T05:50:33
35,3,/auth,block,failure,-1.0,,2025-11-12T05:50:34
36,7,/auth,block,failure,-1.0,,2025-11-12T05:50:34
37,3,/auth,block,failure,-1.0,,2025-11-12T05:50:34
38,5,/auth,block,failure,-1.0,,2025-11-12T05:50:35
39,1,/auth,block,failure,-1.0,,2025-11-12T05:50:35
40,3,/auth,block,failure,-1.0,,2025-11-12T05:50:35
41,6,/auth,allow,success,1.0,,2025-11-12T06:09:21
42,5,/auth,allow,success,1.0,,2025-11-12T06:09:21
43,10,/auth,allow,success,1.0,,2025-11-12T06:09:21
44,1,/auth,allow,success,1.0,,2025-11-12T06:09:22
45,5,/auth,allow,success,1.0,,2025-11-12T06:09:22
46,10,/auth,allow,success,1.0,,2025-11-12T06:09:22
47,2,/auth,allow,success,1.0,,2025-11-12T06:09:22
48,9,/auth,allow,success,1.0,,2025-11-12T06:09:23
49,9,/auth,allow,success,1.0,,2025-11-12T06:09:23
50,4,/auth,allow,success,1.0,,2025-11-12T06:09:23
51,9,/auth,allow,success,1.0,,2025-11-12T06:09:24
52,9,/auth,allow,success,1.0,,2025-11-12T06:09:24
53,5,/auth,allow,success,1.0,,2025-11-12T06:09:24
54,3,/auth,allow,success,1.0,,2025-11-12T06:09:25
55,9,/auth,allow,success,1.0,,2025-11-12T06:09:25
56,6,/auth,allow,success,1.0,,2025-11-12T06:09:25
57,2,/auth,allow,success,1.0,,2025-11-12T06:09:26
58,1,/auth,block,failure,-1.0,,2025-11-12T06:09:26
59,1,/auth,block,failure,-1.0,,2025-11-12T06:09:26
60,1,/auth,block,failure,-1.0,,2025-11-12T06:09:27
61,10,/auth,block,failure,-1.0,,2025-11-12T06:09:27
62,2,/auth,block,failure,-1.0,,2025-11-12T06:09:27
63,4,/auth,block,failure,-1.0,,2025-11-12T06:09:28
64,1,/auth,block,failure,-1.0,,2025-11-12T06:09:28
65,10,/auth,block,failure,-1.0,,2025-11-12T06:09:28
66,3,/auth,block,failure,-1.0,,2025-11-12T06:09:29
67,9,/auth,block,failure,-1.0,,2025-11-12T06:09:29
68,10,/auth,block,failure,-1.0,,2025-11-12T06:09:29
69,2,/auth,block,failure,-1.0,,2025-11-12T06:09:30
70,4,/auth,block,failure,-1.0,,2025-11-12T06:09:30
71,4,/auth,block,failure,-1.0,,2025-11-12T06:09:30
72,8,/auth,block,failure,-1.0,,2025-11-12T06:09:31
73,6,/auth,block,failure,-1.0,,2025-11-12T06:09:31
74,7,/auth,block,failure,-1.0,,2025-11-12T06:09:31
75,2,/auth,block,failure,-1.0,,2025-11-12T06:09:32
76,4,/auth,block,failure,-1.0,,2025-11-12T06:09:32
77,8,/auth,block,failure,-1.0,,2025-11-12T06:09:32
78,8,/auth,block,failure,-1.0,,2025-11-12T06:09:33
79,8,/auth,block,failure,-1.0,,2025-11-12T06:09:33
80,6,/auth,block,failure,-1.0,,2025-11-12T06:09:33
